Date,Close,High,Low,Open,Volume
2018-04-23,223.88,231.5,222.83,229.43,10687723
2018-04-24,221.2,228.8,218.56,224.92,10364894
2018-04-25,216.66,221.575,210.3,220.0,14712343
2018-04-26,225.22,225.55,220.53,223.2,9395574
2018-04-27,226.33,230.3,224.62,229.5,10021245
2018-04-30,224.9,229.0,224.12,226.99,8196066
2018-05-01,227.14,227.25,222.2,224.57,6344727
2018-05-02,226.31,228.8,225.25,227.0,6706185
2018-05-03,232.99,234.05,225.77,227.6,11078640
2018-05-04,239.06,239.1889,231.13,231.83,10016538
2018-05-07,248.68,250.99,242.89,243.2947,17190378
2018-05-08,250.4,250.51,246.71,248.69,12665374
2018-05-09,255.78,255.87,250.11,251.21,14918980
2018-05-10,260.13,260.5,257.2,257.92,24852029
2018-05-11,254.53,259.79,250.54,252.78,30361406
2018-05-14,255.36,258.49,254.4,256.07,13078477
2018-05-15,245.56,252.9,241.5,252.79,24088210
2018-05-16,246.01,248.52,242.51,244.0,13845706
2018-05-17,247.71,251.5,245.43,246.084,12994605
2018-05-18,245.94,252.37,245.74,249.81,12092942
2018-05-21,244.24,250.03,240.49,249.88,16015619
2018-05-22,242.7,245.7999,240.25,244.78,12956637
2018-05-23,247.54,247.59,240.25,240.28,11073926
2018-05-24,247.69,249.4,245.241,247.39,10773545
2018-05-25,249.28,249.94,246.76,248.2,7302782
2018-05-28,249.28,249.28,249.28,249.28,0
2018-05-29,248.59,251.34,246.7,248.55,8817083
2018-05-30,252.99,253.34,248.9515,249.95,9586814
2018-05-31,252.19,255.2,251.27,251.7,12268855
2018-06-01,257.62,257.87,253.65,254.0,10549248
2018-06-04,264.85,265.74,257.7,259.0,16050640
2018-06-05,265.07,266.59,263.17,264.98,9792801
2018-06-06,265.15,265.28,260.77,261.43,9283856
2018-06-07,262.9,265.4785,259.25,265.0,9236216
2018-06-08,262.28,264.0,259.2,259.96,9011443
2018-06-11,260.62,263.45,260.1,261.77,6634253
2018-06-12,262.58,263.07,259.66,261.69,7978985
2018-06-13,262.4,265.67,262.031,262.64,8455159
2018-06-14,266.91,269.2,263.62,264.22,10750411
2018-06-15,265.26,267.48,263.3484,264.6,10806488
2018-06-18,265.09,265.8,262.38,263.48,8906674
2018-06-19,260.17,263.64,255.02,260.92,14873324
2018-06-20,262.31,264.45,260.2808,261.832,9244494
2018-06-21,257.11,264.34,256.8,263.6,8987906
2018-06-22,250.95,258.49,250.3301,257.95,10853954
2018-06-25,239.12,246.8,235.54,246.65,16645430
2018-06-26,241.99,245.65,239.9101,243.7,11972137
2018-06-27,235.72,246.43,235.5,243.75,11347303
2018-06-28,240.86,241.34,235.01,235.32,8450297
2018-06-29,236.9,244.0,236.85,243.49,9807477
2018-07-02,242.24,242.39,233.2649,234.09,8939348
2018-07-03,236.84,243.88,236.5,243.64,5566049
